"Id","age","expInYears","licenseNo","mobNo","name","rating","addressId","driverInsuranceId"
421,29,8,102763,"7-(540)468-0580","Roger Martin",3.2,87,87
23,38,22,62511,"5-(908)091-7408","Russell Harvey",2.4,88,88
540,41,25,43653,"6-(673)368-8824","Debra Bradley",2.5,89,89
410,48,19,3566,"7-(184)143-0956","Doris Oliver",2.9,90,90
939,44,24,87025,"4-(082)958-6685","Carol Cole",3.4,91,91
19,29,6,15902,"5-(355)755-6193","Peter Fox",2.3,92,92
201,40,24,77511,"3-(203)237-5440","Tammy Frazier",1.4,93,93
235,33,1,75591,"3-(076)415-8020","Michelle Coleman",3.9,94,94
212,37,9,77474,"8-(126)634-1447","Debra Rose",3.2,95,95
814,36,19,30446,"3-(773)596-2531","Jonathan Fuller",3.7,96,96
336,29,21,100810,"6-(582)520-8548","Mary Davis",4.4,97,97
298,41,15,54234,"7-(983)069-7829","Jane Oliver",1.1,98,98
282,30,22,62827,"3-(054)946-7105","Julie Rose",4.6,99,99
201,48,11,98147,"7-(656)443-7199","Eric Hughes",4.5,100,100
812,45,8,28797,"2-(131)834-4374","Albert Marshall",2.1,101,101
740,27,22,96454,"9-(490)482-3494","Deborah Nichols",3.2,102,102
784,46,5,6084,"1-(503)629-9545","Helen Weaver",2.1,103,103
888,35,5,66186,"3-(789)479-7927","Bruce Robinson",3.6,104,104
677,37,24,13360,"9-(895)920-0674","Michael Peters",4,105,105
296,38,24,104001,"8-(017)307-1135","Tina Nguyen",4.1,106,106
286,42,8,54142,"5-(564)092-3679","Deborah Richardson",1.8,107,107
9,40,6,3422,"8-(811)433-2297","Kevin Andrews",2.7,108,108
166,25,3,75570,"5-(698)092-8646","Jose Sanders",3.9,109,109
938,35,22,71789,"5-(849)340-3210","Bruce Lopez",4.7,110,110
991,30,9,10854,"4-(915)606-2527","Daniel Clark",3.5,111,111
372,25,8,66455,"3-(286)056-8545","Raymond Owens",3.1,112,112
792,36,4,40205,"6-(281)511-8364","Ernest Morrison",1.5,113,113
459,43,12,66280,"3-(957)777-1626","Larry Robinson",4.5,114,114
990,25,5,99249,"5-(035)685-0937","Shirley Diaz",1.9,115,115
553,43,22,28170,"6-(713)556-8809","Michelle Perez",1.7,116,116
227,26,21,83389,"3-(535)161-4798","Kelly Shaw",3.1,117,117
346,50,3,19941,"4-(162)812-4644","Todd Johnson",1.9,118,118
268,28,21,24821,"0-(376)730-9642","Jean George",3.4,119,119
517,37,19,95322,"0-(524)183-7099","Robert Alexander",3.6,120,120
529,31,16,7623,"9-(110)762-6732","Randy Allen",1.3,121,121
573,30,8,103550,"1-(923)203-8381","Louise Wright",3.3,122,122
527,43,21,74693,"7-(046)213-9964","Roy Riley",3.1,123,123
292,43,18,55733,"2-(679)871-8970","Tammy Jackson",4.8,124,124
955,38,24,106005,"4-(457)005-8140","Willie Martin",4.1,125,125
885,40,20,18576,"0-(235)897-9110","Charles Ruiz",1.6,126,126
673,49,23,91223,"3-(230)754-4707","Jason Kelley",4.9,127,127
988,29,13,100376,"5-(004)249-7309","Emily Smith",4.4,128,128
492,39,5,62100,"8-(493)861-6941","Maria Parker",4.1,129,129
944,31,17,89767,"8-(059)879-9853","Thomas Burton",1.2,130,130
959,47,6,64150,"1-(050)088-5537","Timothy Burton",1.1,131,131
306,35,18,81296,"7-(369)905-7815","Benjamin Sanders",3.9,132,132
488,32,10,97676,"1-(335)841-1532","Sharon Greene",3,133,133
894,29,10,58569,"5-(325)353-9903","Laura Ray",3.2,134,134
567,36,8,12852,"7-(817)097-1142","Jonathan Johnson",2.3,135,135
87,28,6,71876,"3-(857)239-2517","Keith Castillo",1.8,136,136
475,28,18,66639,"0-(577)541-0204","Rebecca Hansen",2.7,137,137
866,35,19,85549,"8-(496)603-0196","Judy Powell",1.5,138,138
592,35,7,45824,"0-(183)156-2403","Gerald Campbell",1.1,139,139
702,47,20,94547,"6-(685)350-7252","Rose Stone",3.8,140,140
228,48,19,102841,"7-(094)467-6265","Matthew Sanchez",2.5,141,141
939,50,25,79941,"8-(679)265-8753","Brandon King",4.6,142,142
791,47,14,93874,"9-(053)358-3993","Steve Castillo",2,143,143
946,38,18,60653,"3-(363)634-0554","Kevin Lopez",3.9,144,144
219,29,20,97433,"3-(397)039-1693","Harold Shaw",3.5,145,145
769,37,16,28135,"7-(510)112-7957","Jason Ford",1.8,146,146
743,40,16,98448,"2-(722)877-0679","Elizabeth Armstrong",4.3,147,147
73,38,11,100124,"3-(638)506-0781","Anthony Fields",4.4,148,148
944,42,13,84503,"3-(916)791-4179","Andrea Little",4.7,149,149
112,44,20,99478,"3-(494)651-8318","Robin Moreno",2.7,150,150
933,44,13,80376,"8-(725)909-4336","Jacqueline King",3.9,151,151
93,38,14,109871,"9-(711)293-3420","Theresa Hansen",3.5,152,152
861,38,19,52638,"9-(116)092-0331","Tammy Medina",1.8,153,153
982,42,18,24318,"3-(990)402-5779","Harold Jordan",1.5,154,154
535,26,1,70677,"4-(242)397-0512","Maria James",1.8,155,155
463,34,23,99386,"2-(176)872-5791","Willie Harris",3.6,156,156
334,35,7,43353,"3-(462)078-2560","Theresa Mccoy",4.4,157,157
348,32,14,45373,"9-(844)198-8204","Kelly Lawson",4.7,158,158
485,47,15,108467,"9-(575)697-2807","Amy Davis",3.9,159,159
961,48,16,104208,"0-(785)712-4323","Larry Simmons",2.8,160,160
925,34,15,55202,"5-(092)918-6858","Phillip Carter",3.9,161,161
173,40,12,102484,"4-(418)610-7964","Martin Warren",2.2,162,162
680,37,16,94354,"9-(524)493-0322","Chris Patterson",4.9,163,163
854,38,13,47487,"2-(444)013-3670","Clarence Chavez",4.5,164,164
458,27,25,44925,"2-(698)193-5215","Jeffrey Hawkins",1.6,165,165
1,37,11,80078,"9-(765)608-8951","John Ward",2.1,166,166
838,36,2,38977,"2-(761)331-0417","Michael Snyder",2.6,167,167
133,49,18,63045,"1-(981)219-4012","Louise Hughes",1.6,168,168
404,39,14,99381,"7-(874)443-3535","Julie Gardner",4.3,169,169
424,45,22,77421,"9-(923)675-4663","Frances Tucker",1.3,170,170
676,29,18,35299,"3-(863)765-4738","Kathleen Robinson",2.2,171,171
135,29,3,76284,"2-(013)562-8182","Scott Ryan",2.3,172,172
160,33,25,91893,"8-(256)951-6034","Diane Long",1.7,173,173
870,27,10,75497,"7-(272)115-6408","Martha Dixon",3,174,174
556,28,25,2667,"5-(131)439-2270","Jacqueline Pierce",1.6,175,175
462,30,21,2173,"7-(563)352-4761","Harry Gordon",4.3,176,176
378,38,3,38701,"7-(465)991-1987","Marie Fields",4.8,177,177
579,25,15,64404,"5-(562)533-6093","Eric Wallace",1.8,178,178
192,38,20,1079,"5-(231)837-1016","Robin Young",3.2,179,179
710,48,2,34903,"3-(343)621-3192","Lisa Bailey",4.2,180,180
152,49,19,13240,"2-(294)104-1529","Roger White",4,181,181
797,47,7,1552,"0-(694)121-6010","Bobby Vasquez",4.2,182,182
270,26,8,8607,"5-(923)617-4189","Ruth Kennedy",4.9,183,183
902,29,21,45137,"4-(101)647-6658","Rose Graham",3.7,184,184
158,39,12,31818,"2-(097)932-5305","Ruby Jordan",1.1,185,185
896,47,22,26945,"2-(502)326-7477","Larry Dunn",4.7,186,186
898,26,8,57595,"2-(547)781-5050","Martha White",3.5,187,187
468,48,19,25352,"5-(390)284-3795","Diana Patterson",1.7,188,188
852,41,11,24816,"7-(308)668-9759","Joan Hughes",2.3,189,189
440,48,5,67788,"0-(368)885-8532","Victor Peterson",2.5,190,190
465,49,22,57703,"3-(871)334-5370","Heather Alvarez",3.8,191,191
451,40,2,73386,"4-(284)705-3076","Marie Lopez",1.5,192,192
78,25,14,42449,"7-(728)481-2403","Ruby Lane",2.9,193,193
364,42,4,34570,"2-(363)808-8499","Margaret Hayes",1,194,194
664,40,21,36407,"8-(556)348-2601","Paul Mason",3.1,195,195
102,35,9,78118,"4-(464)032-5047","Katherine Hart",4.6,196,196
570,41,21,22209,"2-(454)541-5677","Eric White",2.1,197,197
565,29,2,108688,"1-(191)251-6612","Craig Cunningham",3.4,198,198
595,26,9,1903,"0-(787)900-8144","Bruce Burke",1.2,199,199
583,40,2,79842,"4-(669)880-6606","Gloria Bradley",1.6,200,200
835,30,6,14174,"3-(262)866-9633","Kimberly Cox",3.5,201,201
964,30,11,8419,"0-(712)977-9417","Heather Harrison",4.3,202,202
530,33,23,58897,"9-(779)362-6737","Keith Phillips",4.6,203,203
34,34,11,30787,"3-(773)271-3240","Johnny Hughes",3.2,204,204
701,49,12,36742,"4-(828)220-7615","Deborah Stone",1.8,205,205
49,44,15,93945,"6-(447)600-4063","Virginia Gardner",3.9,206,206
397,41,12,29538,"2-(675)071-5494","Edward Dean",4.6,207,207
476,32,17,101370,"3-(616)354-5347","Scott Ross",2.9,208,208
620,44,3,24505,"5-(144)203-4601","Brian Freeman",3.6,209,209
422,40,5,59900,"6-(697)885-0452","Bruce Fisher",1.9,210,210
721,46,25,31488,"4-(219)443-2682","Brian Reynolds",4.8,211,211
982,43,1,19532,"5-(588)183-9908","Sean Brown",1.1,212,212
292,40,3,81578,"3-(029)441-0706","Judy Henry",3.7,213,213
625,33,20,108700,"1-(102)197-1587","Barbara Hunt",3.7,214,214
727,36,3,36772,"9-(701)316-1991","Robert Stanley",4.1,215,215
796,28,18,88699,"4-(319)186-4129","Janice Kelley",2.6,216,216
323,28,11,3827,"0-(716)425-1334","Norma Gray",2.2,217,217
9,47,20,90416,"6-(794)584-4732","Eric Roberts",1.8,218,218
264,48,1,84670,"9-(983)763-5741","Keith Murray",3.3,219,219
807,35,3,47188,"1-(537)480-9889","Ralph Harris",1.3,220,220
689,40,23,38159,"0-(793)006-1243","Julie Gilbert",4.3,221,221
843,50,1,37438,"5-(582)126-9223","Howard Knight",1.3,222,222
692,46,13,6497,"6-(909)065-3966","Jerry West",1.2,223,223
508,46,2,63905,"4-(647)243-6582","Jane Cole",3.2,224,224
116,36,16,51408,"6-(470)073-7902","Mark Willis",2.8,225,225
433,49,2,65253,"0-(912)414-3774","David Garza",2.2,226,226
696,50,15,73318,"6-(018)585-1653","Alice Dunn",4.9,227,227
740,41,3,62099,"2-(325)955-8030","Patrick Long",4.8,228,228
250,41,15,37310,"8-(967)194-0153","Margaret Patterson",1.7,229,229
599,47,4,79235,"9-(007)488-5882","Carolyn Dean",3.5,230,230
618,33,3,48492,"8-(244)630-2779","Rachel Griffin",2.6,231,231
611,43,21,37738,"1-(666)257-3692","Joe Harper",3.5,232,232
841,26,13,24174,"5-(899)635-0902","David Hanson",3.4,233,233
96,41,13,108221,"8-(999)184-4518","Virginia Harper",3.8,234,234
224,29,18,34304,"5-(227)897-1418","Amy Davis",2.1,235,235
528,30,20,34007,"0-(876)323-4762","Ruth Harrison",3.8,236,236
177,47,15,67730,"9-(208)240-5837","Shirley Peterson",2.4,237,237
216,47,4,80013,"7-(346)147-7959","Deborah Nelson",4.9,238,238
109,30,17,43516,"8-(514)344-9741","Dennis Welch",1.2,239,239
642,35,8,54554,"4-(042)808-7796","Eric Mccoy",1.9,240,240
321,42,9,75920,"1-(230)281-5112","Brian Thomas",4.6,241,241
526,28,16,96777,"5-(998)107-5323","Tina Sullivan",3.8,242,242
362,48,14,17960,"4-(055)128-7334","Michelle Gonzales",2.4,243,243
403,42,17,2832,"7-(942)980-8960","Wanda Ferguson",4.5,244,244
711,40,13,43667,"7-(991)059-5865","Nicole Kim",3.6,245,245
933,28,6,42104,"4-(149)637-8420","Sharon Dunn",3.9,246,246
835,25,22,5478,"6-(233)993-3749","Earl Rice",2,247,247
706,46,22,496,"2-(398)782-9715","Amanda Frazier",4.9,248,248
834,47,13,44296,"4-(100)834-7072","Bobby Miller",3,249,249
874,25,7,15760,"6-(805)877-8643","Victor Smith",4.6,250,250
169,33,20,85699,"9-(557)864-7021","Robin Burke",1.7,251,251
477,50,3,99995,"4-(340)346-8557","Ryan Harrison",3,252,252
936,40,5,25406,"9-(030)396-2030","Brandon Berry",3.8,253,253
50,35,18,70162,"5-(734)062-4381","Juan Burke",4.4,254,254
308,47,2,87250,"3-(893)489-4216","Chris Gray",3,255,255
650,35,4,18047,"1-(921)163-5636","Clarence Knight",3.5,256,256
187,46,23,41813,"5-(743)617-0470","Jerry Nguyen",2.7,257,257
877,39,14,100563,"4-(289)145-2088","Jonathan Roberts",1.8,258,258
236,46,13,42240,"6-(303)173-1893","Lawrence Alvarez",4.6,259,259
165,40,22,49200,"5-(588)426-9432","Amy Burton",1.2,260,260
150,48,25,33090,"5-(534)761-1239","Carlos Jones",2.9,261,261
593,43,1,105416,"4-(713)101-9732","Ann Anderson",5,262,262
727,48,15,72824,"1-(886)997-1710","Julia Kim",2.6,263,263
645,50,18,9342,"6-(542)333-9098","Mildred Sullivan",3.2,264,264
323,47,18,8980,"9-(691)217-0347","Daniel Nichols",1.4,265,265
118,50,15,80327,"8-(653)909-1028","Gregory Gonzalez",2,266,266
450,48,2,51325,"0-(492)590-8040","Sharon Sullivan",1.6,267,267
850,29,17,2245,"0-(420)325-8984","Paula Watson",3.9,268,268
116,43,13,76351,"5-(842)653-8440","Sara Morrison",1.2,269,269
16,48,20,32536,"9-(962)624-7078","Kimberly Lawson",2.3,270,270
703,31,20,74882,"9-(868)322-8756","Irene Burns",3.1,271,271
5,33,9,45998,"8-(088)018-7398","Jesse Adams",3.7,272,272
675,36,14,95618,"3-(103)188-7030","Theresa Hughes",5,273,273
82,48,19,42020,"9-(516)992-3921","Rebecca Alvarez",2.4,274,274
744,38,23,66816,"8-(412)031-8171","Diana Peters",3.2,275,275
99,38,10,98641,"0-(371)663-0875","Irene Green",2.7,276,276
779,27,21,29408,"5-(509)755-7521","Annie Alexander",3.1,277,277
27,39,23,60012,"8-(592)561-7154","Alice Reid",2.5,278,278
639,35,15,82568,"0-(420)841-6379","Janet Alexander",3.8,279,279
564,40,14,42723,"9-(769)257-0667","Tina Franklin",2.3,280,280
778,26,1,52658,"0-(846)264-8656","Dorothy Watson",3.9,281,281
283,30,3,41490,"9-(643)200-1014","Alan Watkins",4.2,282,282
779,29,25,22217,"2-(848)584-8247","Norma Smith",4.6,283,283
980,26,17,83028,"8-(728)996-6695","Maria Welch",4.5,284,284
521,29,20,21433,"6-(376)990-3776","Alan Rogers",1,285,285
243,34,14,91272,"1-(518)556-9071","Irene Griffin",4.4,286,286
255,34,18,54770,"8-(753)089-6393","Lawrence Lee",3,287,287
275,46,19,15532,"4-(778)020-0056","Kevin Little",4.1,288,288
583,45,1,9274,"5-(656)316-3460","Phyllis Ward",2.7,289,289
103,36,19,84886,"2-(783)689-7900","Lois Clark",1.2,290,290
640,38,14,26197,"5-(104)365-2349","Andrew Fuller",2.2,291,291
186,29,24,15751,"6-(553)118-0940","Lois Mendoza",4.5,292,292
400,27,17,69630,"4-(861)988-2932","Sharon Hanson",4.6,293,293
792,25,8,74704,"5-(584)017-2255","Ashley Carr",4,294,294
400,30,18,72217,"7-(158)695-0185","Billy Taylor",4.2,295,295
726,32,14,30205,"0-(546)838-6161","Andrea Lee",4.1,296,296
991,40,12,45766,"7-(135)814-5397","Christine Stone",2.9,297,297
206,29,21,80358,"1-(531)882-8260","David Ford",2.5,298,298
543,50,22,22277,"9-(432)767-1749","Edward Thomas",1.1,299,299
228,43,1,56196,"0-(293)328-6238","Joe Garrett",3.6,300,300
294,46,3,33529,"0-(456)251-1181","Judy Kennedy",3,301,301
50,35,4,106976,"8-(700)909-0089","Patrick Perkins",3.8,302,302
804,33,13,46132,"3-(504)969-5723","Nicholas Holmes",4.7,303,303
753,30,6,90823,"2-(512)683-9387","Carlos Young",1.6,304,304
828,49,24,95881,"4-(767)478-2443","Frank Morgan",4.4,305,305
187,47,7,906,"7-(078)308-0023","Janice Wilson",3.6,306,306
409,26,13,73725,"6-(850)555-3706","Steve Jenkins",1.7,307,307
514,45,25,61488,"3-(842)040-3924","Brenda Williams",4.4,308,308
399,34,2,52682,"2-(678)356-8395","Johnny Montgomery",4,309,309
636,48,7,57261,"3-(511)661-6468","Nicole Olson",4.7,310,310
110,48,24,21498,"0-(051)211-4588","Joshua Snyder",1.3,311,311
29,30,5,83872,"3-(887)840-6055","Carolyn Carpenter",4.8,312,312
682,28,21,23963,"2-(531)662-4211","Linda Stephens",4.4,313,313
638,29,3,96490,"3-(389)401-7237","Todd Johnston",4.5,314,314
766,25,16,52328,"9-(808)922-3852","Steven Olson",4.8,315,315
182,35,3,8131,"1-(161)694-6799","Stephen Anderson",1.7,316,316
578,32,4,50925,"1-(468)697-8597","Bruce Holmes",3.1,317,317
361,35,25,4955,"3-(692)784-5911","Janice Hunter",2.9,318,318
785,43,20,62793,"1-(741)719-1700","Fred Garza",2.2,319,319
664,46,10,44286,"9-(289)297-0769","Kelly Walker",4,320,320
720,44,15,34229,"9-(050)564-0737","Carol Peterson",1.7,321,321
686,46,6,20756,"1-(723)129-8892","Thomas Green",4.3,322,322
71,37,25,64855,"1-(879)182-9691","Daniel Carter",4.6,323,323
381,37,7,73984,"0-(867)474-9041","Billy Berry",3.9,324,324
392,26,4,76467,"9-(350)940-7961","Wayne Lawson",4.8,325,325
606,28,21,33429,"9-(954)085-0826","Peter Evans",1.7,326,326
333,37,5,43209,"3-(344)122-1787","Marilyn Williamson",2.6,327,327
549,44,25,104689,"1-(190)268-6924","Bobby Sanchez",1.4,328,328
1000,48,13,2238,"6-(900)236-2734","Sean Dean",4.7,329,329
970,28,10,8108,"9-(697)488-9513","Douglas Chapman",1,330,330
253,30,16,64586,"1-(445)583-3224","Eugene Johnston",4.1,331,331
113,36,20,60310,"1-(073)978-6364","Harry Rose",2.4,332,332
739,33,13,37814,"7-(646)859-8079","Lori Barnes",1.4,333,333
567,28,4,8318,"5-(413)896-5367","Eric Martinez",1.7,334,334
351,25,2,36468,"5-(028)154-3707","Harold Palmer",2.4,335,335
506,49,22,33606,"4-(810)576-9299","Mildred Cruz",2,336,336
688,31,22,87927,"6-(465)704-7312","Donald Hicks",3.6,337,337
273,41,17,256,"9-(783)109-7754","Anthony Powell",3.3,338,338
741,25,8,47791,"8-(789)423-3070","Cheryl Hughes",2.4,339,339
814,40,20,67156,"9-(841)230-3373","Todd Welch",1.8,340,340
906,36,12,90286,"7-(300)261-6986","William Flores",4,341,341
175,38,17,51794,"4-(456)866-9007","Aaron Grant",1.6,342,342
663,45,23,82486,"1-(389)744-2641","Joan Chapman",3.2,343,343
504,27,13,7858,"4-(740)065-2040","Annie Pierce",4.1,344,344
299,25,12,14424,"0-(491)032-8805","Joe Edwards",2.2,345,345
954,26,24,47914,"9-(388)899-3458","Anne George",4.3,346,346
854,25,25,93722,"1-(635)298-5892","Norma Hayes",4.8,347,347
54,29,16,80350,"2-(131)617-8302","Jeffrey Ramos",2.6,348,348
495,36,3,74089,"5-(628)045-2459","Ronald Ford",3.4,349,349
423,45,25,28887,"6-(183)498-8960","Catherine Larson",2.5,350,350
257,26,11,11025,"1-(106)092-1616","Jose Martin",1.3,351,351
468,38,1,74321,"0-(544)569-0428","Henry Peters",2.1,352,352
180,35,8,35385,"3-(255)647-4285","Rose Alexander",1.3,353,353
519,41,7,33407,"6-(498)154-3007","Kathy Chapman",1.6,354,354
498,28,10,54167,"2-(075)880-5377","Steven Green",2.8,355,355
542,27,20,78131,"4-(446)860-1631","Karen Kennedy",4.7,356,356
29,27,10,41447,"8-(452)496-4092","Jane Cole",2.4,357,357
126,29,21,90680,"2-(668)619-4901","Wanda Ramos",3.1,358,358
1000,47,16,66206,"6-(317)548-0547","Thomas Pierce",4,359,359
435,42,1,63555,"8-(189)582-6527","John Nguyen",3.3,360,360
309,38,7,21191,"0-(803)346-9444","Philip Montgomery",2.6,361,361
572,37,8,30738,"3-(999)997-3733","Bobby Washington",2.9,362,362
211,36,21,75764,"6-(905)305-8120","Joseph Alexander",4.4,363,363
474,48,16,46955,"2-(930)558-5774","Gregory Crawford",2.1,364,364
397,31,14,54197,"8-(083)260-2746","Ronald Crawford",4.9,365,365
197,38,25,98547,"7-(249)582-5664","Diana Hart",3.5,366,366
493,26,15,91521,"4-(782)462-0051","Jean Robinson",2.4,367,367
611,50,16,85294,"3-(024)120-2139","Lisa Knight",2.7,368,368
200,34,20,55297,"1-(194)063-9559","Ronald Snyder",4.7,369,369
31,30,19,86762,"0-(884)452-9565","Anne Bowman",1.9,370,370
688,32,13,97610,"7-(556)547-6232","Judy Wilson",4.8,371,371
390,25,1,97373,"9-(426)767-9965","Lori Fernandez",4.9,372,372
185,41,18,104515,"4-(995)010-8925","Ruth Reyes",3.2,373,373
255,49,20,52206,"1-(510)530-2502","Jessica Snyder",2.4,374,374
426,28,25,104422,"5-(909)316-8658","Anne Cunningham",1,375,375
801,31,6,107685,"6-(707)337-9710","Sarah Smith",1.4,376,376
523,36,20,79155,"8-(425)455-8614","Mildred Vasquez",2.3,377,377
349,44,4,28378,"4-(521)200-9649","Andrew Mendoza",2.1,378,378
686,31,23,73784,"3-(358)756-9677","Christina Elliott",4.5,379,379
900,27,11,48807,"4-(998)893-7109","Mary Stanley",4.8,380,380
889,47,15,68222,"0-(826)811-7474","Antonio Hughes",3.2,381,381
836,39,21,33313,"8-(822)755-1805","Kelly Fields",1.9,382,382
291,41,7,37649,"4-(946)866-0646","Nicholas Armstrong",1.9,383,383
669,32,17,28989,"5-(913)071-6115","Stephanie Campbell",4,384,384
209,48,2,37871,"6-(762)370-3223","Louis Montgomery",3,385,385
925,30,2,68161,"2-(828)187-4316","Sarah Matthews",3.4,386,386
150,35,4,66934,"3-(509)318-7352","Helen Jacobs",1.6,387,387
